Region,Code,DevelopmentLevel,YesNo
Kuwait,414,More Developed Regions,N
Lebanon,422,More Developed Regions,N
Oman,512,More Developed Regions,N
Qatar,634,More Developed Regions,N
Saudi Arabia,682,More Developed Regions,N
State of Palestine,275,More Developed Regions,N
Syrian Arab Republic,760,More Developed Regions,N
Turkey,792,More Developed Regions,N
United Arab Emirates,784,More Developed Regions,N
Yemen,887,More Developed Regions,N
Kazakhstan,398,More Developed Regions,N
Kyrgyzstan,417,More Developed Regions,N
Tajikistan,762,More Developed Regions,N
Turkmenistan,795,More Developed Regions,N
Uzbekistan,860,More Developed Regions,N
Afghanistan,4,More Developed Regions,N
Bangladesh,50,More Developed Regions,N
Bhutan,64,More Developed Regions,N
India,356,More Developed Regions,N
Iran (Islamic Republic of),364,More Developed Regions,N
Maldives,462,More Developed Regions,N
Nepal,524,More Developed Regions,N
Pakistan,586,More Developed Regions,N
Sri Lanka,144,More Developed Regions,N
China,156,More Developed Regions,N
"China, Hong Kong SAR",344,More Developed Regions,N
"China, Macao SAR",446,More Developed Regions,N
Dem. People's Republic of Korea,408,More Developed Regions,N
Japan,392,More Developed Regions,Y
Mongolia,496,More Developed Regions,N
Republic of Korea,410,More Developed Regions,N
Brunei Darussalam,96,More Developed Regions,N
Cambodia,116,More Developed Regions,N
Indonesia,360,More Developed Regions,N
Lao People's Democratic Republic,418,More Developed Regions,N
Malaysia,458,More Developed Regions,N
Myanmar,104,More Developed Regions,N
Philippines,608,More Developed Regions,N
Singapore,702,More Developed Regions,N
Thailand,764,More Developed Regions,N
Timor-Leste,626,More Developed Regions,N
Viet Nam,704,More Developed Regions,N
Anguilla,660,More Developed Regions,N
Antigua and Barbuda,28,More Developed Regions,N
Aruba,533,More Developed Regions,N
Bahamas,44,More Developed Regions,N
Barbados,52,More Developed Regions,N
British Virgin Islands,92,More Developed Regions,N
"Bonaire, Sint Eustatius and Saba",535,More Developed Regions,N
Cayman Islands,136,More Developed Regions,N
Cuba,192,More Developed Regions,N
Curaçao,531,More Developed Regions,N
Dominica,212,More Developed Regions,N
Dominican Republic,214,More Developed Regions,N
Grenada,308,More Developed Regions,N
Guadeloupe,312,More Developed Regions,N
Haiti,332,More Developed Regions,N
Jamaica,388,More Developed Regions,N
Martinique,474,More Developed Regions,N
Montserrat,500,More Developed Regions,N
Puerto Rico,630,More Developed Regions,N
Saint Kitts and Nevis,659,More Developed Regions,N
Saint Lucia,662,More Developed Regions,N
Saint Vincent and the Grenadines,670,More Developed Regions,N
Sint Maarten (Dutch part),534,More Developed Regions,N
Trinidad and Tobago,780,More Developed Regions,N
Turks and Caicos Islands,796,More Developed Regions,N
United States Virgin Islands,850,More Developed Regions,N
Belize,84,More Developed Regions,N
Costa Rica,188,More Developed Regions,N
El Salvador,222,More Developed Regions,N
Guatemala,320,More Developed Regions,N
Honduras,340,More Developed Regions,N
Mexico,484,More Developed Regions,N
Nicaragua,558,More Developed Regions,N
Panama,591,More Developed Regions,N
Argentina,32,More Developed Regions,N
Bolivia (Plurinational State of),68,More Developed Regions,N
Brazil,76,More Developed Regions,N
Chile,152,More Developed Regions,N
Colombia,170,More Developed Regions,N
Ecuador,218,More Developed Regions,N
Falkland Islands (Malvinas),238,More Developed Regions,N
French Guiana,254,More Developed Regions,N
Guyana,328,More Developed Regions,N
Paraguay,600,More Developed Regions,N
Peru,604,More Developed Regions,N
Suriname,740,More Developed Regions,N
Uruguay,858,More Developed Regions,N
Venezuela (Bolivarian Republic of),862,More Developed Regions,N
Australia,36,More Developed Regions,Y
New Zealand,554,More Developed Regions,Y
Fiji,242,More Developed Regions,N
New Caledonia,540,More Developed Regions,N
Papua New Guinea,598,More Developed Regions,N
Solomon Islands,90,More Developed Regions,N
Vanuatu,548,More Developed Regions,N
Guam,316,More Developed Regions,N
Kiribati,296,More Developed Regions,N
Marshall Islands,584,More Developed Regions,N
Micronesia (Fed. States of),583,More Developed Regions,N
Nauru,520,More Developed Regions,N
Northern Mariana Islands,580,More Developed Regions,N
Palau,585,More Developed Regions,N
American Samoa,16,More Developed Regions,N
Cook Islands,184,More Developed Regions,N
French Polynesia,258,More Developed Regions,N
Niue,570,More Developed Regions,N
Samoa,882,More Developed Regions,N
Tokelau,772,More Developed Regions,N
Tonga,776,More Developed Regions,N
Tuvalu,798,More Developed Regions,N
Wallis and Futuna Islands,876,More Developed Regions,N
Belarus,112,More Developed Regions,Y
Bulgaria,100,More Developed Regions,Y
Czechia,203,More Developed Regions,Y
Hungary,348,More Developed Regions,Y
Poland,616,More Developed Regions,Y
Republic of Moldova,498,More Developed Regions,Y
Romania,642,More Developed Regions,Y
Russian Federation,643,More Developed Regions,Y
Slovakia,703,More Developed Regions,Y
Ukraine,804,More Developed Regions,Y
Channel Islands,830,More Developed Regions,Y
Denmark,208,More Developed Regions,Y
Estonia,233,More Developed Regions,Y
Faroe Islands,234,More Developed Regions,Y
Finland,246,More Developed Regions,Y
Iceland,352,More Developed Regions,Y
Ireland,372,More Developed Regions,Y
Isle of Man,833,More Developed Regions,Y
Latvia,428,More Developed Regions,Y
Lithuania,440,More Developed Regions,Y
Norway,578,More Developed Regions,Y
Sweden,752,More Developed Regions,Y
United Kingdom,826,More Developed Regions,Y
Albania,8,More Developed Regions,Y
Andorra,20,More Developed Regions,Y
Bosnia and Herzegovina,70,More Developed Regions,Y
Croatia,191,More Developed Regions,Y
Gibraltar,292,More Developed Regions,Y
Greece,300,More Developed Regions,Y
Holy See,336,More Developed Regions,Y
Italy,380,More Developed Regions,Y
Malta,470,More Developed Regions,Y
Montenegro,499,More Developed Regions,Y
North Macedonia,807,More Developed Regions,Y
Portugal,620,More Developed Regions,Y
San Marino,674,More Developed Regions,Y
Serbia,688,More Developed Regions,Y
Slovenia,705,More Developed Regions,Y
Spain,724,More Developed Regions,Y
Austria,40,More Developed Regions,Y
Belgium,56,More Developed Regions,Y
France,250,More Developed Regions,Y
Germany,276,More Developed Regions,Y
Liechtenstein,438,More Developed Regions,Y
Luxembourg,442,More Developed Regions,Y
Monaco,492,More Developed Regions,Y
Netherlands,528,More Developed Regions,Y
Switzerland,756,More Developed Regions,Y
Bermuda,60,More Developed Regions,Y
Canada,124,More Developed Regions,Y
Greenland,304,More Developed Regions,Y
Saint Pierre and Miquelon,666,More Developed Regions,Y
United States of America,840,More Developed Regions,Y
Burundi,108,Less Developed Regions,N
Comoros,174,Less Developed Regions,N
Djibouti,262,Less Developed Regions,N
Eritrea,232,Less Developed Regions,N
Ethiopia,231,Less Developed Regions,N
Kenya,404,Less Developed Regions,Y
Madagascar,450,Less Developed Regions,N
Malawi,454,Less Developed Regions,N
Mauritius,480,Less Developed Regions,Y
Mayotte,175,Less Developed Regions,Y
Mozambique,508,Less Developed Regions,N
Réunion,638,Less Developed Regions,Y
Rwanda,646,Less Developed Regions,N
Seychelles,690,Less Developed Regions,Y
Somalia,706,Less Developed Regions,N
South Sudan,728,Less Developed Regions,N
Uganda,800,Less Developed Regions,N
United Republic of Tanzania,834,Less Developed Regions,N
Zambia,894,Less Developed Regions,N
Zimbabwe,716,Less Developed Regions,Y
Angola,24,Less Developed Regions,N
Cameroon,120,Less Developed Regions,Y
Central African Republic,140,Less Developed Regions,N
Chad,148,Less Developed Regions,N
Congo,178,Less Developed Regions,Y
Democratic Republic of the Congo,180,Less Developed Regions,N
Equatorial Guinea,226,Less Developed Regions,Y
Gabon,266,Less Developed Regions,Y
Sao Tome and Principe,678,Less Developed Regions,N
Botswana,72,Less Developed Regions,Y
Eswatini,748,Less Developed Regions,Y
Lesotho,426,Less Developed Regions,N
Namibia,516,Less Developed Regions,Y
South Africa,710,Less Developed Regions,Y
Benin,204,Less Developed Regions,N
Burkina Faso,854,Less Developed Regions,N
Cabo Verde,132,Less Developed Regions,Y
Côte d'Ivoire,384,Less Developed Regions,Y
Gambia,270,Less Developed Regions,N
Ghana,288,Less Developed Regions,Y
Guinea,324,Less Developed Regions,N
Guinea-Bissau,624,Less Developed Regions,N
Liberia,430,Less Developed Regions,N
Mali,466,Less Developed Regions,N
Mauritania,478,Less Developed Regions,N
Niger,562,Less Developed Regions,N
Nigeria,566,Less Developed Regions,Y
Saint Helena,654,Less Developed Regions,Y
Senegal,686,Less Developed Regions,N
Sierra Leone,694,Less Developed Regions,N
Togo,768,Less Developed Regions,N
Algeria,12,Less Developed Regions,Y
Egypt,818,Less Developed Regions,Y
Libya,434,Less Developed Regions,Y
Morocco,504,Less Developed Regions,Y
Sudan,729,Less Developed Regions,N
Tunisia,788,Less Developed Regions,Y
Western Sahara,732,Less Developed Regions,Y
Armenia,51,Less Developed Regions,Y
Azerbaijan,31,Less Developed Regions,Y
Bahrain,48,Less Developed Regions,Y
Cyprus,196,Less Developed Regions,Y
Georgia,268,Less Developed Regions,Y
Iraq,368,Less Developed Regions,Y
Israel,376,Less Developed Regions,Y
Jordan,400,Less Developed Regions,Y
Kuwait,414,Less Developed Regions,Y
Lebanon,422,Less Developed Regions,Y
Oman,512,Less Developed Regions,Y
Qatar,634,Less Developed Regions,Y
Saudi Arabia,682,Less Developed Regions,Y
State of Palestine,275,Less Developed Regions,Y
Syrian Arab Republic,760,Less Developed Regions,Y
Turkey,792,Less Developed Regions,Y
United Arab Emirates,784,Less Developed Regions,Y
Yemen,887,Less Developed Regions,N
Kazakhstan,398,Less Developed Regions,Y
Kyrgyzstan,417,Less Developed Regions,Y
Tajikistan,762,Less Developed Regions,Y
Turkmenistan,795,Less Developed Regions,Y
Uzbekistan,860,Less Developed Regions,Y
Afghanistan,4,Less Developed Regions,N
Bangladesh,50,Less Developed Regions,N
Bhutan,64,Less Developed Regions,N
India,356,Less Developed Regions,Y
Iran (Islamic Republic of),364,Less Developed Regions,Y
Maldives,462,Less Developed Regions,Y
Nepal,524,Less Developed Regions,N
Pakistan,586,Less Developed Regions,Y
Sri Lanka,144,Less Developed Regions,Y
China,156,Less Developed Regions,Y
"China, Hong Kong SAR",344,Less Developed Regions,Y
"China, Macao SAR",446,Less Developed Regions,Y
Dem. People's Republic of Korea,408,Less Developed Regions,Y
Japan,392,Less Developed Regions,N
Mongolia,496,Less Developed Regions,Y
Republic of Korea,410,Less Developed Regions,Y
Brunei Darussalam,96,Less Developed Regions,Y
Cambodia,116,Less Developed Regions,N
Indonesia,360,Less Developed Regions,Y
Lao People's Democratic Republic,418,Less Developed Regions,N
Malaysia,458,Less Developed Regions,Y
Myanmar,104,Less Developed Regions,N
Philippines,608,Less Developed Regions,Y
Singapore,702,Less Developed Regions,Y
Thailand,764,Less Developed Regions,Y
Timor-Leste,626,Less Developed Regions,N
Viet Nam,704,Less Developed Regions,Y
Anguilla,660,Less Developed Regions,Y
Antigua and Barbuda,28,Less Developed Regions,Y
Aruba,533,Less Developed Regions,Y
Bahamas,44,Less Developed Regions,Y
Barbados,52,Less Developed Regions,Y
British Virgin Islands,92,Less Developed Regions,Y
"Bonaire, Sint Eustatius and Saba",535,Less Developed Regions,Y
Cayman Islands,136,Less Developed Regions,Y
Cuba,192,Less Developed Regions,Y
Curaçao,531,Less Developed Regions,Y
Dominica,212,Less Developed Regions,Y
Dominican Republic,214,Less Developed Regions,Y
Grenada,308,Less Developed Regions,Y
Guadeloupe,312,Less Developed Regions,Y
Haiti,332,Less Developed Regions,N
Jamaica,388,Less Developed Regions,Y
Martinique,474,Less Developed Regions,Y
Montserrat,500,Less Developed Regions,Y
Puerto Rico,630,Less Developed Regions,Y
Saint Kitts and Nevis,659,Less Developed Regions,Y
Saint Lucia,662,Less Developed Regions,Y
Saint Vincent and the Grenadines,670,Less Developed Regions,Y
Sint Maarten (Dutch part),534,Less Developed Regions,Y
Trinidad and Tobago,780,Less Developed Regions,Y
Turks and Caicos Islands,796,Less Developed Regions,Y
United States Virgin Islands,850,Less Developed Regions,Y
Belize,84,Less Developed Regions,Y
Costa Rica,188,Less Developed Regions,Y
El Salvador,222,Less Developed Regions,Y
Guatemala,320,Less Developed Regions,Y
Honduras,340,Less Developed Regions,Y
Mexico,484,Less Developed Regions,Y
Nicaragua,558,Less Developed Regions,Y
Panama,591,Less Developed Regions,Y
Argentina,32,Less Developed Regions,Y
Bolivia (Plurinational State of),68,Less Developed Regions,Y
Brazil,76,Less Developed Regions,Y
Chile,152,Less Developed Regions,Y
Colombia,170,Less Developed Regions,Y
Ecuador,218,Less Developed Regions,Y
Falkland Islands (Malvinas),238,Less Developed Regions,Y
French Guiana,254,Less Developed Regions,Y
Guyana,328,Less Developed Regions,Y
Paraguay,600,Less Developed Regions,Y
Peru,604,Less Developed Regions,Y
Suriname,740,Less Developed Regions,Y
Uruguay,858,Less Developed Regions,Y
Venezuela (Bolivarian Republic of),862,Less Developed Regions,Y
Australia,36,Less Developed Regions,N
New Zealand,554,Less Developed Regions,N
Fiji,242,Less Developed Regions,Y
New Caledonia,540,Less Developed Regions,Y
Papua New Guinea,598,Less Developed Regions,Y
Solomon Islands,90,Less Developed Regions,N
Vanuatu,548,Less Developed Regions,N
Guam,316,Less Developed Regions,Y
Kiribati,296,Less Developed Regions,N
Marshall Islands,584,Less Developed Regions,Y
Micronesia (Fed. States of),583,Less Developed Regions,Y
Nauru,520,Less Developed Regions,Y
Northern Mariana Islands,580,Less Developed Regions,Y
Palau,585,Less Developed Regions,Y
American Samoa,16,Less Developed Regions,Y
Cook Islands,184,Less Developed Regions,Y
French Polynesia,258,Less Developed Regions,Y
Niue,570,Less Developed Regions,Y
Samoa,882,Less Developed Regions,Y
Tokelau,772,Less Developed Regions,Y
Tonga,776,Less Developed Regions,Y
Tuvalu,798,Less Developed Regions,N
Wallis and Futuna Islands,876,Less Developed Regions,Y
Belarus,112,Less Developed Regions,N
Bulgaria,100,Less Developed Regions,N
Czechia,203,Less Developed Regions,N
Hungary,348,Less Developed Regions,N
Poland,616,Less Developed Regions,N
Republic of Moldova,498,Less Developed Regions,N
Romania,642,Less Developed Regions,N
Russian Federation,643,Less Developed Regions,N
Slovakia,703,Less Developed Regions,N
Ukraine,804,Less Developed Regions,N
Channel Islands,830,Less Developed Regions,N
Denmark,208,Less Developed Regions,N
Estonia,233,Less Developed Regions,N
Faroe Islands,234,Less Developed Regions,N
Finland,246,Less Developed Regions,N
Iceland,352,Less Developed Regions,N
Ireland,372,Less Developed Regions,N
Isle of Man,833,Less Developed Regions,N
Latvia,428,Less Developed Regions,N
Lithuania,440,Less Developed Regions,N
Norway,578,Less Developed Regions,N
Sweden,752,Less Developed Regions,N
United Kingdom,826,Less Developed Regions,N
Albania,8,Less Developed Regions,N
Andorra,20,Less Developed Regions,N
Bosnia and Herzegovina,70,Less Developed Regions,N
Croatia,191,Less Developed Regions,N
Gibraltar,292,Less Developed Regions,N
Greece,300,Less Developed Regions,N
Holy See,336,Less Developed Regions,N
Italy,380,Less Developed Regions,N
Malta,470,Less Developed Regions,N
Montenegro,499,Less Developed Regions,N
North Macedonia,807,Less Developed Regions,N
Portugal,620,Less Developed Regions,N
San Marino,674,Less Developed Regions,N
Serbia,688,Less Developed Regions,N
Slovenia,705,Less Developed Regions,N
Spain,724,Less Developed Regions,N
Austria,40,Less Developed Regions,N
Belgium,56,Less Developed Regions,N
France,250,Less Developed Regions,N
Germany,276,Less Developed Regions,N
Liechtenstein,438,Less Developed Regions,N
Luxembourg,442,Less Developed Regions,N
Monaco,492,Less Developed Regions,N
Netherlands,528,Less Developed Regions,N
Switzerland,756,Less Developed Regions,N
Bermuda,60,Less Developed Regions,N
Canada,124,Less Developed Regions,N
Greenland,304,Less Developed Regions,N
Saint Pierre and Miquelon,666,Less Developed Regions,N
United States of America,840,Less Developed Regions,N
Burundi,108,Least developed countries,Y
Comoros,174,Least developed countries,Y
Djibouti,262,Least developed countries,Y
Eritrea,232,Least developed countries,Y
Ethiopia,231,Least developed countries,Y
Kenya,404,Least developed countries,N
Madagascar,450,Least developed countries,Y
Malawi,454,Least developed countries,Y
Mauritius,480,Least developed countries,N
Mayotte,175,Least developed countries,N
Mozambique,508,Least developed countries,Y
Réunion,638,Least developed countries,N
Rwanda,646,Least developed countries,Y
Seychelles,690,Least developed countries,N
Somalia,706,Least developed countries,Y
South Sudan,728,Least developed countries,Y
Uganda,800,Least developed countries,Y
United Republic of Tanzania,834,Least developed countries,Y
Zambia,894,Least developed countries,Y
Zimbabwe,716,Least developed countries,N
Angola,24,Least developed countries,Y
Cameroon,120,Least developed countries,N
Central African Republic,140,Least developed countries,Y
Chad,148,Least developed countries,Y
Congo,178,Least developed countries,N
Democratic Republic of the Congo,180,Least developed countries,Y
Equatorial Guinea,226,Least developed countries,N
Gabon,266,Least developed countries,N
Sao Tome and Principe,678,Least developed countries,Y
Botswana,72,Least developed countries,N
Eswatini,748,Least developed countries,N
Lesotho,426,Least developed countries,Y
Namibia,516,Least developed countries,N
South Africa,710,Least developed countries,N
Benin,204,Least developed countries,Y
Burkina Faso,854,Least developed countries,Y
Cabo Verde,132,Least developed countries,N
Côte d'Ivoire,384,Least developed countries,N
Gambia,270,Least developed countries,Y
Ghana,288,Least developed countries,N
Guinea,324,Least developed countries,Y
Guinea-Bissau,624,Least developed countries,Y
Liberia,430,Least developed countries,Y
Mali,466,Least developed countries,Y
Mauritania,478,Least developed countries,Y
Niger,562,Least developed countries,Y
Nigeria,566,Least developed countries,N
Saint Helena,654,Least developed countries,N
Senegal,686,Least developed countries,Y
Sierra Leone,694,Least developed countries,Y
Togo,768,Least developed countries,Y
Algeria,12,Least developed countries,N
Egypt,818,Least developed countries,N
Libya,434,Least developed countries,N
Morocco,504,Least developed countries,N
Sudan,729,Least developed countries,Y
Tunisia,788,Least developed countries,N
Western Sahara,732,Least developed countries,N
Armenia,51,Least developed countries,N
Azerbaijan,31,Least developed countries,N
Bahrain,48,Least developed countries,N
Cyprus,196,Least developed countries,N
Georgia,268,Least developed countries,N
Iraq,368,Least developed countries,N
Israel,376,Least developed countries,N
Jordan,400,Least developed countries,N
Kuwait,414,Least developed countries,N
Lebanon,422,Least developed countries,N
Oman,512,Least developed countries,N
Qatar,634,Least developed countries,N
Saudi Arabia,682,Least developed countries,N
State of Palestine,275,Least developed countries,N
Syrian Arab Republic,760,Least developed countries,N
Turkey,792,Least developed countries,N
United Arab Emirates,784,Least developed countries,N
Yemen,887,Least developed countries,Y
Kazakhstan,398,Least developed countries,N
Kyrgyzstan,417,Least developed countries,N
Tajikistan,762,Least developed countries,N
Turkmenistan,795,Least developed countries,N
Uzbekistan,860,Least developed countries,N
Afghanistan,4,Least developed countries,Y
Bangladesh,50,Least developed countries,Y
Bhutan,64,Least developed countries,Y
India,356,Least developed countries,N
Iran (Islamic Republic of),364,Least developed countries,N
Maldives,462,Least developed countries,N
Nepal,524,Least developed countries,Y
Pakistan,586,Least developed countries,N
Sri Lanka,144,Least developed countries,N
China,156,Least developed countries,N
"China, Hong Kong SAR",344,Least developed countries,N
"China, Macao SAR",446,Least developed countries,N
Dem. People's Republic of Korea,408,Least developed countries,N
Japan,392,Least developed countries,N
Mongolia,496,Least developed countries,N
Republic of Korea,410,Least developed countries,N
Brunei Darussalam,96,Least developed countries,N
Cambodia,116,Least developed countries,Y
Indonesia,360,Least developed countries,N
Lao People's Democratic Republic,418,Least developed countries,Y
Malaysia,458,Least developed countries,N
Myanmar,104,Least developed countries,Y
Philippines,608,Least developed countries,N
Singapore,702,Least developed countries,N
Thailand,764,Least developed countries,N
Timor-Leste,626,Least developed countries,Y
Viet Nam,704,Least developed countries,N
Anguilla,660,Least developed countries,N
Antigua and Barbuda,28,Least developed countries,N
Aruba,533,Least developed countries,N
Bahamas,44,Least developed countries,N
Barbados,52,Least developed countries,N
British Virgin Islands,92,Least developed countries,N
"Bonaire, Sint Eustatius and Saba",535,Least developed countries,N
Cayman Islands,136,Least developed countries,N
Cuba,192,Least developed countries,N
Curaçao,531,Least developed countries,N
Dominica,212,Least developed countries,N
Dominican Republic,214,Least developed countries,N
Grenada,308,Least developed countries,N
Guadeloupe,312,Least developed countries,N
Haiti,332,Least developed countries,Y
Jamaica,388,Least developed countries,N
Martinique,474,Least developed countries,N
Montserrat,500,Least developed countries,N
Puerto Rico,630,Least developed countries,N
Saint Kitts and Nevis,659,Least developed countries,N
Saint Lucia,662,Least developed countries,N
Saint Vincent and the Grenadines,670,Least developed countries,N
Sint Maarten (Dutch part),534,Least developed countries,N
Trinidad and Tobago,780,Least developed countries,N
Turks and Caicos Islands,796,Least developed countries,N
United States Virgin Islands,850,Least developed countries,N
Belize,84,Least developed countries,N
Costa Rica,188,Least developed countries,N
El Salvador,222,Least developed countries,N
Guatemala,320,Least developed countries,N
Honduras,340,Least developed countries,N
Mexico,484,Least developed countries,N
Nicaragua,558,Least developed countries,N
Panama,591,Least developed countries,N
Argentina,32,Least developed countries,N
Bolivia (Plurinational State of),68,Least developed countries,N
Brazil,76,Least developed countries,N
Chile,152,Least developed countries,N
Colombia,170,Least developed countries,N
Ecuador,218,Least developed countries,N
Falkland Islands (Malvinas),238,Least developed countries,N
French Guiana,254,Least developed countries,N
Guyana,328,Least developed countries,N
Paraguay,600,Least developed countries,N
Peru,604,Least developed countries,N
Suriname,740,Least developed countries,N
Uruguay,858,Least developed countries,N
Venezuela (Bolivarian Republic of),862,Least developed countries,N
Australia,36,Least developed countries,N
New Zealand,554,Least developed countries,N
Fiji,242,Least developed countries,N
New Caledonia,540,Least developed countries,N
Papua New Guinea,598,Least developed countries,N
Solomon Islands,90,Least developed countries,Y
Vanuatu,548,Least developed countries,Y
Guam,316,Least developed countries,N
Kiribati,296,Least developed countries,Y
Marshall Islands,584,Least developed countries,N
Micronesia (Fed. States of),583,Least developed countries,N
Nauru,520,Least developed countries,N
Northern Mariana Islands,580,Least developed countries,N
Palau,585,Least developed countries,N
American Samoa,16,Least developed countries,N
Cook Islands,184,Least developed countries,N
French Polynesia,258,Least developed countries,N
Niue,570,Least developed countries,N
Samoa,882,Least developed countries,N
Tokelau,772,Least developed countries,N
Tonga,776,Least developed countries,N
Tuvalu,798,Least developed countries,Y
Wallis and Futuna Islands,876,Least developed countries,N
Belarus,112,Least developed countries,N
Bulgaria,100,Least developed countries,N
Czechia,203,Least developed countries,N
Hungary,348,Least developed countries,N
Poland,616,Least developed countries,N
Republic of Moldova,498,Least developed countries,N
Romania,642,Least developed countries,N
Russian Federation,643,Least developed countries,N
Slovakia,703,Least developed countries,N
Ukraine,804,Least developed countries,N
Channel Islands,830,Least developed countries,N
Denmark,208,Least developed countries,N
Estonia,233,Least developed countries,N
Faroe Islands,234,Least developed countries,N
Finland,246,Least developed countries,N
Iceland,352,Least developed countries,N
Ireland,372,Least developed countries,N
Isle of Man,833,Least developed countries,N
Latvia,428,Least developed countries,N
Lithuania,440,Least developed countries,N
Norway,578,Least developed countries,N
Sweden,752,Least developed countries,N
United Kingdom,826,Least developed countries,N
Albania,8,Least developed countries,N
Andorra,20,Least developed countries,N
Bosnia and Herzegovina,70,Least developed countries,N
Croatia,191,Least developed countries,N
Gibraltar,292,Least developed countries,N
Greece,300,Least developed countries,N
Holy See,336,Least developed countries,N
Italy,380,Least developed countries,N
Malta,470,Least developed countries,N
Montenegro,499,Least developed countries,N
North Macedonia,807,Least developed countries,N
Portugal,620,Least developed countries,N
San Marino,674,Least developed countries,N
Serbia,688,Least developed countries,N
Slovenia,705,Least developed countries,N
Spain,724,Least developed countries,N
Austria,40,Least developed countries,N
Belgium,56,Least developed countries,N
France,250,Least developed countries,N
Germany,276,Least developed countries,N
Liechtenstein,438,Least developed countries,N
Luxembourg,442,Least developed countries,N
Monaco,492,Least developed countries,N
Netherlands,528,Least developed countries,N
Switzerland,756,Least developed countries,N
Bermuda,60,Least developed countries,N
Canada,124,Least developed countries,N
Greenland,304,Least developed countries,N
Saint Pierre and Miquelon,666,Least developed countries,N
United States of America,840,Least developed countries,N
Burundi,108,High-income Countries,N
Comoros,174,High-income Countries,N
Djibouti,262,High-income Countries,N
Eritrea,232,High-income Countries,N
Ethiopia,231,High-income Countries,N
Kenya,404,High-income Countries,N
Madagascar,450,High-income Countries,N
Malawi,454,High-income Countries,N
Mauritius,480,High-income Countries,N
Mayotte,175,High-income Countries,N
Mozambique,508,High-income Countries,N
Réunion,638,High-income Countries,N
Rwanda,646,High-income Countries,N
Seychelles,690,High-income Countries,Y
Somalia,706,High-income Countries,N
South Sudan,728,High-income Countries,N
Uganda,800,High-income Countries,N
United Republic of Tanzania,834,High-income Countries,N
Zambia,894,High-income Countries,N
Zimbabwe,716,High-income Countries,N
Angola,24,High-income Countries,N
Cameroon,120,High-income Countries,N
Central African Republic,140,High-income Countries,N
Chad,148,High-income Countries,N
Congo,178,High-income Countries,N
Democratic Republic of the Congo,180,High-income Countries,N
Equatorial Guinea,226,High-income Countries,N
Gabon,266,High-income Countries,N
Sao Tome and Principe,678,High-income Countries,N
Botswana,72,High-income Countries,N
Eswatini,748,High-income Countries,N
Lesotho,426,High-income Countries,N
Namibia,516,High-income Countries,N
South Africa,710,High-income Countries,N
Benin,204,High-income Countries,N
Burkina Faso,854,High-income Countries,N
Cabo Verde,132,High-income Countries,N
Côte d'Ivoire,384,High-income Countries,N
Gambia,270,High-income Countries,N
Ghana,288,High-income Countries,N
Guinea,324,High-income Countries,N
Guinea-Bissau,624,High-income Countries,N
Liberia,430,High-income Countries,N
Mali,466,High-income Countries,N
Mauritania,478,High-income Countries,N
Niger,562,High-income Countries,N
